S/N,Throughput,UL Packet Loss,DL Packet Loss
1,0.40947656,0.00000000,0.00000000
2,0.02176563,0.00000000,0.00000000
3,2.41957813,0.00000000,0.00000000
4,3.01292969,0.00080192,0.00408163
5,4.90798438,0.00059952,0.00286533
6,5.68970313,0.00048309,0.00249377
7,6.28964063,0.00038139,0.00219780
8,6.74172656,0.00095481,0.00194553
9,12.13892188,0.00082873,0.00135135
10,15.05362500,0.00074221,0.00112994
11,39.57166406,0.00066667,0.00077220
12,74.17078906,0.00060618,0.00058343
13,101.27193750,0.00055597,0.00046168
14,104.10837500,0.00051238,0.00042845
15,105.39455469,0.00047962,0.00041391
16,107.08243750,0.00044951,0.00039841
17,108.31421094,0.00042129,0.00038580
18,109.50545313,0.00038745,0.00037272
19,109.89139063,0.00035834,0.00036563
20,111.40628906,0.00033003,0.00035211
21,113.42962500,0.00030432,0.00033659
22,113.90587500,0.00028495,0.00033036
23,115.75252344,0.00026702,0.00031706
24,117.60001563,0.00025634,0.00030525
25,119.45043750,0.00024779,0.00029577
26,120.96332031,0.00023990,0.00028877
27,122.99950781,0.00023238,0.00027964
28,124.08200000,0.00022371,0.00027420
29,125.94163281,0.00021160,0.00026567
30,127.11069531,0.00020072,0.00026015
31,128.53603906,0.00019103,0.00025310
32,130.46411719,0.00018464,0.00024588
33,131.14012500,0.00017662,0.00024195
34,133.21334375,0.00017006,0.00023507
35,134.95225781,0.00016633,0.00022994
36,136.77400000,0.00016275,0.00022467
37,137.96932813,0.00015938,0.00022065
38,138.47264844,0.00015619,0.00022002
39,138.96050781,0.00015313,0.00021935
40,139.44788281,0.00015020,0.00021867
41,139.93731250,0.00014736,0.00021796
42,140.42504688,0.00014463,0.00021730
43,140.91108594,0.00014201,0.00021668
44,141.43404688,0.00013945,0.00021538
45,141.93374219,0.00013700,0.00021441
46,142.55089063,0.00013459,0.00021272
47,144.48964844,0.00013225,0.00020756
48,145.01000000,0.00013004,0.00020665
49,145.50112500,0.00012791,0.00020597
50,146.00138281,0.00012585,0.00020530
51,146.49250781,0.00012385,0.00020462
52,147.25119531,0.00012188,0.00020321
53,147.74062500,0.00012000,0.00020259
54,148.22933594,0.00011820,0.00020198
55,148.71974219,0.00011645,0.00020133
56,149.20917188,0.00011474,0.00020072
57,149.90751563,0.00011304,0.00019932
58,150.39525000,0.00011142,0.00019877
59,150.88637500,0.00010986,0.00019814
60,151.37544531,0.00010834,0.00019755
61,151.86657031,0.00010686,0.00019693
62,152.35600000,0.00010541,0.00019635
63,152.84471094,0.00010402,0.00019577
64,153.32659375,0.00010273,0.00039040
65,153.81448438,0.00010142,0.00038918
66,154.30391406,0.00010012,0.00038805
67,154.79503906,0.00009886,0.00038685
68,155.28446875,0.00009762,0.00038573
69,155.77389844,0.00009642,0.00038462
70,156.26189063,0.00009525,0.00038351
71,156.75301563,0.00009411,0.00038234
72,157.24244531,0.00009299,0.00038124
73,157.99460938,0.00009186,0.00037764
74,160.90226563,0.00009072,0.00036476
75,166.72124219,0.00008959,0.00035119
76,174.49686719,0.00008848,0.00033551
77,175.67781250,0.00008745,0.00033146
78,176.58001563,0.00008642,0.00032927
79,186.13525000,0.00008530,0.00030945
80,188.17518750,0.00008436,0.00030609
81,193.80287500,0.00008334,0.00029459
82,198.16639844,0.00008234,0.00028470
83,199.56214063,0.00008144,0.00028015
84,201.16801563,0.00008054,0.00027518
85,202.55204688,0.00007967,0.00027126
86,204.09578125,0.00007882,0.00026720
87,205.79200000,0.00007799,0.00026264
88,207.09204688,0.00007719,0.00025880
89,208.77111719,0.00007638,0.00025474
90,210.52604688,0.00007560,0.00025082
